City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,belmonte,-15.8631,-38.8828,21.7,77,5,3.05,BR,1723068670
195,lihue,21.9789,-159.3672,28.19,69,75,7.2,US,1723068672
196,avarua,-21.2078,-159.775,25.03,53,43,5.14,CK,1723068674
197,nouadhibou,20.931,-17.0347,21.03,89,80,5.88,MR,1723068675
198,fortuna,40.5982,-124.1573,19.99,74,0,6.17,US,1723068676
199,margate,51.3813,1.3862,17.39,74,100,6.64,GB,1723068436
200,alva,56.1528,-3.8051,14.26,87,31,4.86,GB,1723068678
201,hereford,52.0568,-2.7148,16.12,88,67,3.14,GB,1723068679
202,kotel'nich,58.3089,48.348,14.55,89,100,3.06,RU,1723068681
203,broome,42.2506,-75.833,22.33,78,100,3.09,US,1723068682
204,namibe,-15.1961,12.1522,16.04,83,33,4.0,AO,1723068683
205,isangel,-19.55,169.2667,21.45,68,91,5.72,VU,1723068684
206,utrik,11.2278,169.8474,28.36,77,85,5.75,MH,1723068685
207,malazgirt,39.1427,42.5401,21.24,49,2,1.46,TR,1723068686
208,oriximina,-1.7656,-55.8661,30.23,46,20,2.28,BR,1723068687
209,paungde,18.4833,95.5,23.65,98,100,2.89,MM,1723068689
210,as sulayyil,20.4607,45.5779,36.14,28,98,4.81,SA,1723068690
211,labasa,-16.4167,179.3833,24.58,53,11,4.71,FJ,1723068691
212,sofifi,0.7349,127.576,25.6,82,77,1.57,ID,1723068692
213,kourou,5.1552,-52.6478,28.03,89,61,3.06,GF,1723068693
214,greymouth,-42.4667,171.2,9.1,84,94,5.43,NZ,1723068694
215,medvezh'yegorsk,62.9167,34.4667,10.79,77,7,2.24,RU,1723068695
216,osmancik,40.9782,34.8047,18.67,78,0,1.88,TR,1723068697
217,lodwar,3.1191,35.5973,30.2,41,32,6.13,KE,1723068698
218,centerville,39.6284,-84.1594,28.03,71,75,6.17,US,1723068700
219,afaahiti,-17.75,-149.2833,26.93,82,28,7.89,PF,1723068701
220,yung shue wan,22.2333,114.1167,29.86,84,31,0.45,HK,1723068702
221,new braunfels,29.703,-98.1245,40.58,39,0,1.34,US,1723068703
222,kikwit,-5.041,18.8162,27.21,28,7,0.46,CD,1723068705
223,baruun-urt,46.6806,113.2792,17.36,73,96,1.12,MN,1723068706
224,atafu village,-8.5421,-172.5159,28.53,70,61,8.85,TK,1723068707
225,prokhorovka,51.0374,36.7325,17.76,92,53,3.12,RU,1723068708
226,chimore,-16.9833,-65.1333,23.29,93,95,0.98,BO,1723068709
227,ataq,14.5377,46.8319,26.47,44,98,3.29,YE,1723068710
228,saudarkrokur,65.7461,-19.6394,7.23,94,83,0.91,IS,1723068712
229,constantia,44.1833,28.65,19.38,70,4,2.11,RO,1723068714
230,oyem,1.5995,11.5793,19.8,96,78,1.98,GA,1723068716
231,noshiro,40.2039,140.0242,23.92,89,100,1.92,JP,1723068717
232,aksu,41.1231,80.2644,23.41,42,0,2.28,CN,1723068719
233,lunglei,22.8833,92.7333,21.53,97,100,1.01,IN,1723068720
234,udachny,66.4167,112.4,14.12,56,88,4.97,RU,1723068721
235,clinton,42.587,-82.9199,26.58,58,20,4.63,US,1723068722
236,znamenskoye,57.1281,73.8282,10.83,77,93,2.92,RU,1723068723
237,alpena,45.0617,-83.4327,23.95,59,0,5.14,US,1723068649
238,vadso,70.0744,29.7487,17.49,58,0,2.57,NO,1723068726
239,kinkala,-4.3614,14.7644,23.48,57,79,3.26,CG,1723068727
240,san antonio de pale,-1.4014,5.6325,23.08,81,99,4.12,GQ,1723068728
241,ta`u,-14.2336,-169.5144,25.02,76,74,9.87,AS,1723068729
242,hadibu,12.65,54.0333,25.73,83,37,9.65,YE,1723068730
243,lincoln,40.8,-96.667,32.37,44,0,1.54,US,1723068425
244,campo viera,-27.3833,-55.0333,14.52,99,100,0.75,AR,1723068733
245,kyabe,9.4515,18.9449,23.66,90,99,1.14,TD,1723068734
246,vredendal,-31.6683,18.5012,9.98,94,0,0.72,ZA,1723068735
247,songea,-10.6833,35.65,13.86,51,25,0.69,TZ,1723068736
248,ambovombe,-25.1667,46.0833,19.05,88,47,6.8,MG,1723068737
249,aqaba,29.5267,35.0078,33.92,31,0,4.63,JO,1723068740
250,uturoa,-16.7333,-151.4333,26.08,79,10,5.2,PF,1723068741
251,lake mills,43.0814,-88.9118,25.77,78,28,2.55,US,1723068742
252,inhambane,-23.865,35.3833,19.92,83,18,2.44,MZ,1723068743
253,nantucket,41.2835,-70.0995,19.08,82,100,5.14,US,1723068716
254,chernyshevskiy,63.0128,112.4714,12.72,72,11,1.38,RU,1723068746
255,villa canas,-34.0057,-61.6076,9.41,66,65,8.74,AR,1723068747
256,glazov,58.1394,52.6584,13.86,97,93,2.94,RU,1723068545
257,severo-yeniseyskiy,60.3725,93.0408,12.1,99,100,0.7,RU,1723068749
258,raduzhny,62.0961,77.475,8.32,84,85,3.23,RU,1723068750
259,watford city,47.8022,-103.2832,20.64,48,75,6.17,US,1723068751
260,sechura,-5.5569,-80.8222,21.82,61,9,9.14,PE,1723068752
261,kirakira,-10.4544,161.9205,26.42,82,100,6.18,SB,1723068754
262,dauphin,51.1494,-100.0502,14.08,77,100,6.17,CA,1723068755
263,yeed,4.55,43.0333,24.9,69,100,8.57,SO,1723068756
264,artesia,33.8658,-118.0831,34.36,59,20,5.66,US,1723068757
265,weno,7.4515,151.8468,29.18,74,68,4.47,FM,1723068758
266,katsuura,35.1333,140.3,27.01,89,80,1.01,JP,1723068553
267,vetschau,51.7833,14.0667,23.18,85,94,2.25,DE,1723068761
268,hastings,50.8552,0.5729,18.07,84,100,6.04,GB,1723068762
269,tweed heads,-28.1817,153.547,15.66,90,75,3.09,AU,1723068763
270,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.6,GF,1723068764
271,antsiranana,-12.2787,49.2917,21.49,66,0,7.31,MG,1723068765
272,barcelos,41.5388,-8.6151,19.82,86,0,0.58,PT,1723068766
273,st. john's,47.5649,-52.7093,19.6,74,100,1.34,CA,1723068727
274,peace river,56.2501,-117.286,25.17,50,20,4.12,CA,1723068769
275,kapuskasing,49.4169,-82.4331,22.05,43,75,2.57,CA,1723068770
276,kibakwe,-6.7167,36.3667,16.63,59,5,2.05,TZ,1723068771
277,zamora,-4.0692,-78.9567,25.45,72,54,1.47,EC,1723068614
278,island harbour,50.724,-1.2758,18.32,79,100,0.89,GB,1723068773
279,myeik,12.4333,98.6,25.62,89,97,0.87,MM,1723068774
280,iquique,-20.2208,-70.1431,16.02,79,0,4.54,CL,1723068739
281,midland,31.9974,-102.0779,39.37,16,0,4.12,US,1723068601
